index,Bin_ID,Other_bin,count_raw,norm_val,count_normed
530,26,30,25,14169.6567299,354241.418247
531,26,31,23,14338.7723335,329791.76367
532,26,32,23,14674.8265483,337521.010612
533,26,33,17,14571.2826828,247711.805607
534,26,34,15,14897.5415703,223463.123555
535,26,35,12,14859.3339277,178312.007132
536,26,36,13,15686.8801609,203929.442091
537,26,37,16,15583.9223629,249342.757806
538,26,38,14,15537.4900753,217524.861054
539,26,39,19,15155.4280158,287953.1323
540,26,40,16,14847.1743669,237554.789871
541,26,41,13,14700.6664836,191108.664287
542,26,42,16,14092.8422607,225485.476171
543,26,43,21,13674.7792196,287170.363612
544,26,44,14,13731.3333999,192238.667598
545,26,45,24,13323.4498306,319762.795934
546,26,46,21,12994.4508806,272883.468492
547,26,47,19,12855.7656312,244259.546992
548,26,48,25,13103.221037,327580.525926
549,26,49,19,13117.658848,249235.518111
550,26,50,22,13100.191884,288204.221449
551,26,51,15,12811.7460226,192176.190339
552,26,52,21,13124.1518104,275607.188018
553,26,53,29,13104.3348268,380025.709977
554,26,54,25,13387.0744519,334676.861298
555,26,55,23,13117.6377375,301705.667962
556,26,56,20,13422.0273586,268440.547172
557,26,57,15,13678.7849324,205181.773986
558,26,58,20,14073.4302016,281468.604032
559,26,59,29,13399.7280657,388592.113904
560,26,60,28,12404.3613256,347322.117117
561,26,61,26,11623.4751082,302210.352814
562,26,62,32,11361.627615,363572.083681
563,26,63,28,11141.3280158,311957.184441
564,26,64,30,10997.2298157,329916.894471
565,26,65,30,10914.3385833,327430.1575
566,26,66,34,10855.3347619,369081.381906
567,26,67,32,10748.1872948,343941.993434
568,26,68,42,10821.380353,454497.974828
569,26,69,20,10704.5040392,214090.080784
570,26,70,34,10727.2319923,364725.887739
571,26,71,24,11683.6222693,280406.934462
572,26,72,25,12120.1496739,303003.741847
573,26,73,20,12385.020167,247700.40334
574,26,74,28,12344.0256838,345632.719146
575,26,75,26,11171.4675474,290458.156232
576,26,76,38,10323.8754925,392307.268714
577,26,77,28,9982.9856266,279523.597545
578,26,78,35,9762.25968616,341679.089016
579,26,79,36,9566.86761472,344407.23413
580,26,80,37,9635.08735429,356498.232109
581,26,81,35,9706.30637354,339720.723074
582,26,82,26,9922.02041413,257972.530767
583,26,83,43,10422.4841126,448166.81684
584,26,84,25,11597.3286387,289933.215967
585,26,85,26,12138.2861242,315595.439228
586,26,86,27,12180.7077719,328879.109841
587,26,87,33,11822.9659712,390157.877048
588,26,88,22,11851.2578745,260727.67324
589,26,89,23,12769.2396926,293692.512929
590,26,90,31,12316.7315791,381818.678952
591,26,91,39,10847.1184388,423037.619113
592,26,92,23,10245.4571027,235645.513361
593,26,93,38,10178.2715951,386774.320614
594,26,94,27,10268.7703692,277256.799968
595,26,95,38,10342.1916182,393003.281493
596,26,96,30,10520.2928584,315608.785752
597,26,97,42,10550.1303352,443105.474079
598,26,98,25,10796.5802078,269914.505195
599,26,99,31,11433.1572133,354427.873612
600,31,0,16,11027.2088583,176435.341733
601,31,1,24,11513.9974047,276335.937713
602,31,2,25,12074.2867918,301857.169795
603,31,3,26,12059.896747,313557.315422
604,31,4,18,12121.5244194,218187.439549
605,31,5,33,10845.3512017,357896.589657
606,31,6,36,10313.8432058,371298.355409
607,31,7,22,10362.0575717,227965.266576
608,31,8,25,10621.3716571,265534.291428
609,31,9,37,11461.6425516,424080.774408
610,31,10,31,11384.0286392,352904.887816
611,31,11,30,11034.8027601,331044.082802
612,31,12,35,11522.0203666,403270.712832
613,31,13,24,12100.5868054,290414.083331
614,31,14,30,12541.7970869,376253.912608
615,31,15,20,12670.2920851,253405.841701
616,31,16,21,13038.390133,273806.192793
617,31,17,23,13279.3244235,305424.461741
618,31,18,14,13580.4009732,190125.613625
619,31,19,17,13717.315069,233194.356173
620,31,20,20,13973.4563799,279469.127597
621,31,21,20,13705.5321681,274110.643362
622,31,22,21,13437.0236482,282177.496611
623,31,23,29,13524.3663548,392206.62429
624,31,24,18,14410.8681164,259395.626096
625,31,25,18,14056.3323624,253013.982524
626,31,26,23,14338.7723335,329791.76367
627,31,27,21,14677.7492657,308232.734579
628,31,28,20,14819.8113292,296396.226584
629,31,29,25,13897.1053849,347427.634623
630,31,30,25,13114.3091481,327857.728704
631,31,31,15,13270.8291224,199062.436837
632,31,32,9,13581.8542198,122236.687979
633,31,33,14,13486.0222396,188804.311355
634,31,34,18,13787.9815598,248183.668077
635,31,35,15,13752.6195996,206289.293995
636,31,36,13,14518.5306829,188740.898878
637,31,37,17,14423.2411203,245195.099046
638,31,38,16,14380.2670818,230084.273309
639,31,39,14,14026.6607766,196373.250873
640,31,40,22,13741.3656757,302310.044865
641,31,41,20,13605.7696122,272115.392243
642,31,42,20,13043.2157748,260864.315497
643,31,43,21,12656.2898197,265782.086214
644,31,44,22,12708.6318783,279589.901323
645,31,45,20,12331.127234,246622.54468
646,31,46,29,12026.6319295,348772.325957
647,31,47,20,11898.2758748,237965.517496
648,31,48,21,12127.3009496,254673.319943
649,31,49,19,12140.663441,230672.605379
650,31,50,21,12124.4974061,254614.445529
651,31,51,23,11857.5348204,272723.300869
652,31,52,29,12146.6728115,352253.511533
653,31,53,38,12128.331785,460876.607829
654,31,54,25,12390.0131315,309750.328287
655,31,55,15,12140.6439028,182109.658542
656,31,56,16,12422.3627665,198757.804264
657,31,57,22,12659.9971894,278519.938166
658,31,58,19,13025.2495143,247479.740772
659,31,59,19,12401.7243116,235632.761921
660,31,60,27,11480.4918927,309973.281102
